SpeciesID,SpeciesName,CapsaicinContent (ppm),FruitSize (cm),Color,HeatLevel (SHU),GeneticMarker1,GeneticMarker2,DiseaseResistance,Yield (kg/plant),GrowingConditions,FloweringTime (days),MaturityTime (days),PestResistance,DroughtTolerance,Crossability,CropGenetics
1,Capsicum chacoense,674,5.330277864321095,Green,15696,G7,G7,Medium,2.003995951285279,"Warm, Humid",41,121,Low,High,High,Gen-90
2,Capsicum galapagoense,377,6.321481602870246,Yellow,150254,G7,G8,High,9.445288438243766,"Warm, Dry",54,135,High,Medium,High,Gen-46
3,Capsicum cardenasii,1498,11.794540918582001,Purple,25736,G4,G7,Low,7.796780553439617,"Warm, Dry",54,117,High,Medium,Medium,Gen-62
4,Capsicum rhomboideum,654,9.668050780434388,Orange,123546,G6,G8,High,2.718799345260314,"Cool, Dry",54,145,Low,Medium,Medium,Gen-5
5,Capsicum rhomboideum,1248,8.667073460830121,Purple,141109,G9,G5,High,9.483695987343078,"Warm, Humid",53,101,Medium,High,Low,Gen-68
6,Capsicum pubescens,1463,5.551758685427993,Purple,184951,G5,G2,High,3.0673571620728675,"Warm, Humid",58,136,Medium,Medium,High,Gen-89
7,Capsicum cardenasii,1058,3.041876054328216,Orange,158232,G5,G2,High,4.010045293460438,"Warm, Humid",52,85,Low,Medium,Medium,Gen-13
8,Capsicum baccatum,956,11.53649168545308,Red,22506,G2,G7,Low,1.6146702615626727,"Cool, Dry",65,136,High,Medium,Medium,Gen-39
9,Capsicum frutescens,803,9.859172460975469,Orange,194453,G8,G8,High,3.7818789942091655,"Cool, Dry",51,145,High,High,Low,Gen-35
10,Capsicum pubescens,1306,8.466107955666045,Yellow,70574,G8,G6,High,7.345073871386047,"Warm, Dry",48,110,Medium,Low,High,Gen-48
11,Capsicum lanceolatum,1345,12.968439758706417,Yellow,155945,G5,G9,High,8.040048831621993,"Cool, Dry",48,116,Low,Medium,High,Gen-81
12,Capsicum annuum,1082,5.649781829780178,Red,117888,G3,G1,High,9.34634772781178,"Cool, Dry",42,109,Medium,Low,Low,Gen-98
13,Capsicum chacoense,310,5.32682781757102,Yellow,166471,G9,G4,High,5.433428495676827,"Warm, Humid",43,138,Low,Low,High,Gen-84
14,Capsicum chinense,886,7.344719056393877,Yellow,72399,G8,G8,High,9.440189938136182,"Warm, Humid",44,135,High,High,Medium,Gen-68
15,Capsicum baccatum,919,14.992514079488283,Purple,27435,G7,G3,Low,2.9669315551532263,"Cool, Dry",56,84,High,Medium,Medium,Gen-50
16,Capsicum galapagoense,1004,10.996348810661944,Purple,12977,G4,G8,Medium,4.667304849742775,"Cool, Dry",49,137,Medium,High,Medium,Gen-67
17,Capsicum tovarii,383,10.493121560022384,Red,131751,G1,G1,High,3.934160396430682,"Cool, Dry",56,109,High,Low,Low,Gen-41
18,Capsicum eximium,439,13.80159518703517,Red,17493,G5,G9,Medium,2.492837598191191,"Warm, Dry",48,148,Low,Medium,Medium,Gen-50
19,Capsicum rhomboideum,357,9.545124144265381,Orange,78475,G1,G8,High,3.3614277407853113,"Warm, Dry",68,89,High,High,Medium,Gen-34
20,Capsicum frutescens,1169,12.615528361868282,Orange,60495,G7,G6,Medium,3.132288916724323,"Warm, Dry",55,132,Medium,Medium,High,Gen-99
21,Capsicum rhomboideum,392,13.0101786188907,Yellow,137098,G1,G7,Medium,9.733773428950288,"Cool, Dry",46,122,High,High,Medium,Gen-12
22,Capsicum lanceolatum,1161,6.809094477396666,Red,140874,G9,G3,Low,6.735364738767322,"Cool, Dry",48,109,Medium,High,High,Gen-30
