SpeciesID,SpeciesName,CapsaicinContent (ppm),FruitSize (cm),Color,HeatLevel (SHU),GeneticMarker1,GeneticMarker2,DiseaseResistance,Yield (kg/plant),GrowingConditions,FloweringTime (days),MaturityTime (days),PestResistance,DroughtTolerance,Crossability,CropGenetics
1,Chilli chacoense,1038,13.453995847172466,Purple,166254,G2,G9,Low,4.510109031283411,"Warm, Dry",63,110,Low,Medium,Low,Gen-30
2,Chilli chinense,654,4.66625599420534,Yellow,31160,G9,G3,Medium,7.606331284638892,"Cool, Dry",67,141,High,High,Low,Gen-78
3,Chilli flexuosum,612,7.533017630370065,Green,49907,G9,G8,High,6.136943076374243,"Warm, Dry",45,80,Low,Low,Low,Gen-14
4,Chilli galapagoense,953,5.0100088284622455,Orange,98813,G1,G5,High,2.7620155127961032,"Warm, Dry",49,93,Low,Low,Medium,Gen-8
5,Chilli tovarii,1166,11.808603434572165,Yellow,100542,G6,G1,Medium,7.812598951508999,"Cool, Dry",45,116,High,Medium,Medium,Gen-95
6,Chilli lanceolatum,909,8.678961829271026,Red,76425,G2,G3,High,3.546228868045265,"Cool, Dry",46,135,High,Low,High,Gen-30
7,Chilli annuum,1331,14.29641341240561,Red,176400,G7,G9,High,9.897090039384619,"Warm, Dry",54,82,Medium,Medium,Low,Gen-87
8,Chilli chacoense,500,8.978845560414916,Yellow,15262,G7,G3,High,2.807506385192995,"Cool, Dry",53,112,High,Low,Medium,Gen-60
9,Chilli cardenasii,925,4.317807787086684,Purple,8260,G1,G8,Medium,8.550356313039213,"Warm, Dry",58,126,High,Low,Low,Gen-93
10,Chilli baccatum,1311,5.702454246545674,Yellow,183554,G6,G9,Medium,9.595987398976451,"Cool, Dry",54,119,Medium,Low,Low,Gen-5
11,Chilli pubescens,574,8.290212236886852,Red,100078,G1,G3,Low,1.6433157955088507,"Warm, Dry",41,106,Medium,Low,Low,Gen-11
12,Chilli cardenasii,320,13.962376245724721,Yellow,57284,G2,G5,Medium,9.622664151683978,"Warm, Humid",43,104,Low,Medium,Low,Gen-83
13,Chilli cardenasii,1147,12.906158286054314,Orange,124913,G2,G1,Low,2.6849491240076855,"Warm, Dry",45,146,High,Low,High,Gen-70
14,Chilli pubescens,425,5.337156441657267,Purple,93503,G2,G7,High,3.499032286006472,"Cool, Dry",45,124,Medium,Low,Low,Gen-92
15,Chilli rhomboideum,503,8.495714846809202,Purple,162337,G3,G9,High,2.6787850788159746,"Warm, Humid",48,93,Medium,Medium,Low,Gen-26
